date_time,cash
2019-03-02,264050
2019-03-04,470296
2019-03-05,578345
2019-03-06,266407
2019-03-07,298270
2019-03-11,83881
2019-03-12,223557
2019-03-13,265463
2019-03-14,71157
2019-03-15,161007
2019-03-18,233421
2019-03-19,165092
2019-03-20,153431
2019-03-21,345474
2019-03-22,75712
2019-03-23,124721
2019-03-25,1536
2019-03-26,107254
2019-03-27,106101
2019-03-28,191918
2019-03-29,110878
2019-03-30,32829
2019-04-01,78068
2019-04-02,226823
2019-04-03,97545
2019-04-04,377766
2019-04-05,304262
2019-04-06,105401
2019-04-08,72055
2019-04-09,455373
2019-04-10,565575
2019-04-11,42097
2019-04-12,194778
2019-04-13,73010
2019-04-15,106814
2019-04-16,32672
2019-04-17,110535
2019-04-18,94248
2019-04-19,202789
2019-04-20,75712
2019-04-22,280
2019-04-24,42971
2019-04-25,35137
2019-04-26,326328
2019-04-29,127233
2019-04-30,331102
2019-05-06,173210
2019-05-07,93306
2019-05-08,110740
2019-05-13,190536
2019-05-14,661182
2019-05-15,602665
2019-05-16,272646
2019-05-17,139328
2019-05-18,33112
2019-05-20,132418
2019-05-21,80896
2019-05-22,123
2019-05-23,39741
2019-05-24,32652
2019-05-27,40021
2019-05-28,280
2019-05-29,75712
2019-05-30,89535
2019-05-31,42726
2019-06-03,73478
2019-06-04,115354
2019-06-05,110739
2019-06-06,82859
2019-06-07,118437
2019-06-08,150275
2019-06-10,120950
2019-06-11,73827
2019-06-13,32775
2019-06-14,579781
2019-06-17,42691
2019-06-19,321070
2019-06-21,125664
2019-06-22,205146
2019-06-26,1042382
2019-06-27,1581794
2019-06-28,112155
2019-07-01,37699
2019-07-03,1646318
2019-07-04,634404
2019-07-05,306777
2019-07-09,222425
2019-07-10,987404
2019-07-11,983791
2019-07-12,196978
2019-07-15,198201
2019-07-16,393956
2019-07-17,991488
2019-07-18,1573313
2019-07-19,410415
2019-07-22,42657
2019-07-23,814616
2019-07-24,400554
2019-07-25,1772175
2019-07-26,222425
2019-07-29,725394
2019-07-30,280
2019-07-31,424743
2019-08-01,838178
2019-08-02,196978
2019-08-03,196350
2019-08-05,1152180
2019-08-06,44611
2019-08-07,1821005
2019-08-08,1406615
2019-08-09,588893
2019-08-12,1277638
2019-08-13,581632
2019-08-14,2159376
2019-08-15,2175713
2019-08-16,789169
2019-08-19,828090
2019-08-20,1456862
2019-08-21,1130974
2019-08-22,631462
2019-08-23,226509
2019-08-24,220854
2019-08-26,1689563
2019-08-27,563760
2019-08-28,3402049
2019-08-29,1785853
2019-08-30,213000
2019-09-03,772991
2019-09-04,3011389
2019-09-05,1745083
2019-09-10,3013587
2019-09-12,482862
2019-09-13,1898065
2019-09-14,1171781
2019-09-16,1852845
2019-09-17,1667674
2019-09-18,813201
2019-09-19,1497837
2019-09-20,829695
2019-09-21,195565
2019-09-23,621803
2019-09-24,279561
2019-09-25,606526
2019-09-26,806291
2019-09-27,685809
2019-09-30,531209
2019-10-01,619208
2019-10-02,43982
2019-10-03,1446094
2019-10-04,412490
2019-10-05,306808
2019-10-07,343812
2019-10-08,345135
2019-10-09,403
2019-10-10,496684
2019-10-11,120716
2019-10-12,280
2019-10-14,205146
2019-10-15,245044
2019-10-16,499827
2019-10-17,144356
2019-10-18,163363
2019-10-19,280
2019-10-21,227137
2019-10-22,280
2019-10-23,5969
2019-10-25,349501
2019-10-28,190538
2019-10-29,335209
2019-10-30,98646
2019-10-31,206088
2019-11-01,997623
2019-11-02,7697
2019-11-05,232792
2019-11-06,289685
2019-11-07,376205
2019-11-08,337641
2019-11-09,44485
2019-11-11,110584
2019-11-12,96761
2019-11-13,182998
2019-11-14,39270
2019-11-15,225251
2019-11-18,47124
2019-11-19,167133
2019-11-20,182369
2019-11-21,110391
2019-11-22,280
2019-11-23,85765
2019-11-25,44296
2019-11-27,381388
2019-11-30,44611
2019-12-03,196350
2019-12-05,78853
2019-12-06,88907
2019-12-07,280
2019-12-09,83252
2019-12-10,132135
2019-12-11,41155
2019-12-12,405109
2019-12-13,305206
2019-12-14,39113
2019-12-16,88558
2019-12-17,275518
2019-12-20,78354
2019-12-21,196350
2019-12-23,832209
2019-12-24,665703
2019-12-25,638215
2019-12-26,451755
2019-12-27,633270
